"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40"
"A4GNT" 7.16312695786014 7.59650983624124 7.14152039071902 7.4276304478141 7.68073906842229 7.32360615268583 7.27720604987295 7.53718957905384 7.66385175637965 7.63022568053879 7.62116708702961 7.64151446980981 7.87459318650604 7.84336012634995 7.61770095837875 7.77644920242349 7.66195024633934 7.63313660584697 7.83287543936763 7.6258656077353 7.47394433444876 7.47153978513321 7.44793516097954 7.18186095649759 7.15770233423992 7.37688481298646 7.10870412229137 7.5328462632226 7.24092664310173 7.70470313856203 7.55074667713342 7.52344545752004 7.40440025899667 7.36847476782436 7.1508495718306 7.40228096999167 7.44647134738246 7.20665018331045 7.34552532242941 6.57033600334127
"AADAT" 6.69933263178036 7.44906491473244 7.51704910700678 7.44606203383555 7.41053724307829 7.44568373049673 7.52862017647997 7.42251192771894 7.51982050677941 7.51444728737085 7.24310073124847 7.248615156234 7.38551412362817 7.17616853304854 7.30924165373107 7.42923039570873 7.36164417697083 7.3089277781971 7.37688481298646 7.15711832591871 7.13001931059918 7.14906630133479 7.49597343975253 7.01292168176747 7.1457105497611 7.23697657563136 7.10286841399315 7.21119015667516 7.6092449311982 7.25820786470611 7.42957768488312 7.4554105986256 7.38271613319523 7.32452899395284 6.9528322868035 7.13245182760988 7.18738424947017 7.06327774794599 7.32989535829803 6.99589872461411
"AANAT" 6.45315589936577 7.15833456332247 7.08243009495154 7.0422458430603 7.23697657563136 7.1142233036187 7.15833456332247 7.05985000000354 7.22089439321769 7.34387686924376 6.93190000139021 6.89367169308121 6.98899184403629 6.82341898281912 6.99437021689424 7.10129041199846 7.05094278784926 7.01848582607817 6.99467623065964 7.01882565176068 6.94680107770118 6.78601157360269 7.07478697686936 6.27858723023397 6.64268954947171 6.86185074315436 7.01031962058312 6.90765550946171 7.18800604900103 6.6217213969741 7.10773381173302 7.01911226382728 7.15457446011574 6.94680107770118 6.48738704984154 6.26210007715782 6.76037169842054 6.71068078918792 6.93647716353061 6.57033600334127
"AARS" 6.94866426673635 7.26383853685566 7.33026605829263 7.08182420995473 7.37615983405734 7.26444421698562 7.31091827625779 7.02511933217008 7.49844586619453 7.10721325944378 7.07478697686936 7.09291231348859 7.17202937873208 7.06795642344016 7.16918898855196 7.14194173639549 7.30380568607271 7.19824030733569 7.38423456874837 6.78452130637624 7.2075122653113 7.29748158624464 7.33689979495145 6.40119606991114 6.69640153645177 7.17868770734807 6.98739598688129 6.90104439738698 7.48692179243752 6.94680107770118 7.21119015667516 7.15567714354188 7.56385034688828 7.06271583027971 6.61116506862865 6.80014678020469 6.97845280798008 6.94150823837309 6.96492826501268 8.53349371512959
"AARS2" 7.11765169533495 7.19273218768288 7.12326871578342 7.26060105303309 7.38551412362817 7.19751282054333 7.02363712389392 7.02089639957293 7.32577943980047 7.15682904792265 7.17968229686443 7.17943075847574 6.91290189895096 6.92645689343561 7.21146673904926 7.074155971278 7.11945285752221 7.27167348859504 7.17789418321913 7.2236200822878 7.09866985383627 6.74176712093603 7.10479579675759 6.84662515711405 6.85489316712101 7.52912588959243 6.92177606852707 6.95388640244537 7.39315424710778 7.33517045718943 7.02637682010984 7.04828133565456 7.05516809933027 7.14798254947763 6.60905972326877 7.14798254947763 7.15142400021331 7.22488858724623 7.1282173453362 7.26478875801323
"AASDHPPT" 7.44439208039947 6.66996223983387 7.12788633492102 7.28199432247854 7.10154591717387 6.54477209439888 7.37126230283051 7.33026605829263 6.31072088979864 7.44300915971637 7.43589468372167 7.47033206214082 7.22331708370137 7.27935067665979 7.03261786903006 6.97466063178007 7.01410222419305 7.00770316791566 7.43990889039001 7.58109636887132 6.93498107877656 7.93689623375777 6.9886778684416 7.04283210281366 7.11630376499165 8.82447102992461 7.18507860004303 7.13973437900847 7.53763776535412 7.2955917140698 7.33819782971078 7.0027478690029 6.3340032541042 6.64997007088835 6.92030665016899 7.10810860184947 7.18451244059896 6.66825391235217 6.43343131087258 7.84447527455349
"AASS" 5.94684940029591 6.75333841369651 6.83051679214294 6.61872865845803 7.0858431617123 6.69345032801178 6.56686204459489 6.39308212556683 6.9490120810487 6.47315797630787 6.66561053752516 6.85356624664425 6.86506757206046 6.80610538152722 6.7264358203698 6.86010680848243 6.86053967643708 6.78708918065264 6.89405477700979 6.40681336654875 6.35243699437189 7.0317644495832 6.88933334851282 6.23153256673136 6.64997007088835 6.54318203607972 7.5919380424148 7.21855843553137 6.8636817220857 5.88352179874485 6.86975332950972 6.8956892733471 6.94221426348306 6.37197058467448 6.92257855437099 6.51656746936296 6.40946116667142 7.16034919275347 6.59703316703237 7.03073621794282
"AATK" 7.35008824458614 7.36367780203637 7.44834227425016 7.33986224473564 7.34621762315457 7.31164939600572 7.15225985940258 6.96743389991503 7.47317241331229 6.93313191801101 7.23254960905243 6.25722859113588 7.12788633492102 6.9670773023399 7.41796527695346 7.62053406956363 7.58064305563175 7.36780387766703 7.57633452162204 6.49115088307852 7.57739517846539 7.54009893806502 6.18830835283902 7.66073527455048 9.24324781649817 7.15112192182659 6.31485381152286 6.63314399336457 7.19854303483115 7.04283210281366 6.26210007715782 6.29119637412518 7.00960470291537 7.1427894671945 7.17943075847574 7.22054801565133 7.15740067530748 7.18860013383871 7.00097966039727 7.46105914458375
"ABAT" 7.0317644495832 7.15973818948363 7.47886261937839 7.40191905186147 7.36477075333454 7.19999321248745 7.15254230241753 7.19443761621541 7.27019192318193 7.4351530237302 7.06560465067027 7.06875142721251 7.19570557539958 7.29748158624464 7.06875142721251 7.21749808046715 7.21749808046715 7.1020987634372 7.32360615268583 7.01348665490837 7.0609507350847 7.20392712271504 7.33920912489057 6.87498272206213 7.06934159986347 7.19999321248745 7.75659674845705 7.54943679730126 7.38588420392752 7.04067569870324 7.26894432538445 7.30691415603519 7.10664095700456 7.04034961728814 7.35868251335768 7.18334983673731 7.19663853981871 7.19359073629693 7.07379086654087 8.03806604847209
"ABCB10" 7.21250858774791 6.25244690446127 5.20408256180342 6.35572227930412 5.20408256180342 4.52236097915857 5.72785454165873 4.43197132406709 6.56083938669356 4.95021624465296 6.64268954947171 6.42413353838633 6.58121105792456 6.1093147634693 6.79583642043692 6.90143320341994 6.94080848485521 6.60365501174259 6.96844675081409 6.80991236410509 6.65437117939296 6.63515887753132 6.14912938120328 7.42471185831359 7.68409067742988 7.0296283006247 6.73832421095501 6.61019070707628 6.69933263178036 6.57992690659414 6.27858723023397 6.27858723023397 4.23468553298138 5.11733299503005 7.18977215678071 6.85579785122801 6.56083938669356 6.39032669615059 4.52236097915857 7.42288272437449
"ABCB11" 7.18245858661477 7.3555107518107 7.31022730872416 7.08753512465541 7.38311472581416 7.41120391870377 7.06588541476623 6.89167240264842 7.42833590203218 6.78344439854169 7.4186663406304 6.1093147634693 6.99941612631646 6.87058943835421 7.42325918171513 7.46832176178131 7.3251363898044 7.51799860963676 7.42325918171513 6.12580715485919 7.63022568053879 7.94779170079842 6.35243699437189 7.63313660584697 8.51412502242173 7.49165924060888 5.51613128071441 6.56401942409912 7.56291981482556 7.2142506923039 6.25722859113588 6.28696906813198 6.95841377028462 7.43658635121932 7.04828133565456 7.12060014305333 7.29871946828401 7.53968486528656 7.32959330204032 6.57033600334127
